"Symbol","Name","IPO date","Market cap","IPO book value","Last Close Price","Price over book %","Shares outstanding","Average trading volume","% traded","Action"
"GSRM","GSR II Meteora Acquisition Corp. - Class A","04/18/2022","$326,370,000","10.00","10.26","2.60","31,625,000","100,973","0.32%","Analyze"
"IQMD","Intelligent Medicine Acquisition Corp. Class A","12/27/2021","$296,260,388","10.00","10.26","2.60","28,875,000","600","0.00%","Analyze"
"MACA","Moringa Acquisition Corp Class A","04/06/2021","$122,914,800","10.00","10.26","2.60","11,980,000","46,574","0.39%","Analyze"
"RFAC","RF Acquisition Corp. - Class A","04/19/2022","$120,159,000","10.00","10.26","2.60","11,700,000","205,239","1.75%","Analyze"
"ZING","FTAC Zeus Acquisition Corp. Class A","01/10/2022","$431,635,263","10.00","10.26","2.60","42,028,750","157,366","0.37%","Analyze"
"BCSA","Blockchain Coinvestors Acquisition Corp. I - Class A","12/31/2021","$321,050,500","10.00","10.25","2.50","31,322,000","50,591","0.16%","Analyze"
"LCAA","L Catterton Asia Acquisition Corp Class A","05/03/2021","$292,811,932","10.00","10.25","2.50","28,650,874","1,234,875","4.31%","Analyze"
"LCW","Learn CW Investment Corporation Class A","12/16/2013","$235,750,000","10.00","10.25","2.50","23,000,000","6,287","0.03%","Analyze"
"MEKA","MELI Kaszek Pioneer Corp","09/29/2021","$303,197,973","10.00","10.25","2.50","29,725,000","115,428","0.39%","Analyze"
"NBST","Newbury Street Acquisition Corporation","04/16/2021","$173,116,102","10.00","10.25","2.50","16,661,800","194,003","1.16%","Analyze"
"PRPC","CC Neuberger Principal Holdings III Class A","03/26/2021","$412,562,500","10.00","10.25","2.50","40,250,000","9,475","0.02%","Analyze"
"RKTA","Rocket Internet Growth Opportunities Corp. Class A","05/13/2021","$273,675,000","10.00","10.25","2.50","26,700,000","22,775","0.09%","Analyze"
"SEDA","SDCL EDGE Acquisition Corporation Class A","12/20/2021","$205,351,176","10.00","10.25","2.50","19,995,246","883","0.00%","Analyze"
"SWSS","Springwater Special Situations Corp.","09/23/2021","$230,438,850","10.00","10.25","2.50","22,481,839","4,214","0.02%","Analyze"
