"Symbol","Name","SPAC IPO date","SPAC merger completion date","Market cap","Industry","Momentum factor 10","Momentum factor 200","Last Close Price","Shares outstanding","Average trading volume","% traded","Action"
"BZFD","BuzzFeed, Inc. - Class A","12/06/2021","12/03/2021","$119,875,439","Entertainment","0.74","0.61","1.05","126,771,826","1,930,955","1.52%","Analyze"
"PEAR","Pear Therapeutics, Inc. - Class A","03/31/2021","12/03/2021","$34,812,128","Health Information Services","0.47","0.18","0.34","139,248,512","2,314,904","1.66%","Analyze"
"PIII","P3 Health Partners Inc. - Class A","04/06/2021","12/03/2021","$35,188,215","Medical Care Facilities","0.79","0.19","0.77","41,578,890","314,651","0.76%","Analyze"
"HGTY","Hagerty, Inc. Class A","06/01/2021","12/02/2021","$696,481,050","Insurance—Property & Casualty","0.99","0.84","8.37","83,211,595","104,154","0.13%","Analyze"
"CTV","Innovid Corp.","09/30/2014","11/30/2021","$205,784,606","Advertising Agencies","1.05","0.61","1.51","136,281,196","267,376","0.20%","Analyze"
"LOCL","Local Bounti Corporation","04/21/2021","11/19/2021","$47,650,439","Farm Products","0.97","0.18","0.46","103,700,630","384,620","0.37%","Analyze"
"LTRY","Lottery.com","06/13/2018","11/19/2021","$64,973,824","Gambling","0.80","0.68","0.38","50,760,799","308,526","0.61%","Analyze"
"BTTX","Better Therapeutics, Inc.","10/29/2021","11/18/2021","$22,319,604","Biotechnology","0.89","0.63","0.99","23,744,260","33,864","0.14%","Analyze"
"KIND","Nextdoor Holdings, Inc. Class A","11/08/2021","11/18/2021","$314,837,540","Internet Content & Information","1.02","0.74","2.00","157,418,770","1,049,454","0.67%","Analyze"
"DCGO","DocGo Inc.","11/01/2021","11/17/2021","$894,896,481","Medical Care Facilities","0.89","0.95","8.13","102,508,188","1,003,108","0.98%","Analyze"
"TOI","The Oncology Institute, Inc.","11/15/2021","11/12/2021","$60,110,920","Medical Care Facilities","0.65","0.18","0.67","74,551,556","368,961","0.49%","Analyze"
"EMBK","Embark Technology, Inc.","11/11/2021","11/10/2021","$47,479,133","Software—Application","0.64","0.62","2.50","19,067,925","98,679","0.52%","Analyze"
"AUR","Aurora Innovation, Inc.  - Class A","05/10/2021","11/03/2021","$999,670,669","Information Technology Services","0.81","0.56","1.15","763,107,381","1,821,717","0.24%","Analyze"
"RDBX","Redbox Entertainment Inc. - Class A","12/10/2020","10/22/2021","$172,520,000","Entertainment","0.89","0.56","4.05","13,685,098","2,649,542","19.36%","Analyze"
